Application,"process_name",Path
"Citrix Tools For Virtual Machines",XenGuestAgent,"C:\Program Files (x86)\Citrix\XenTools\XenGuestAgent.exe"
"Citrix Tools For Virtual Machines",XenDpriv,"C:\Program Files (x86)\Citrix\XenTools\XenDpriv.exe"
"Microsoftr Windowsr Operating System",wuauclt,"C:\Windows\system32\wuauclt.exe"
"Microsoftr Windowsr Operating System",vssvc,"C:\Windows\system32\vssvc.exe"
"Microsoftr Windowsr Operating System",TrustedInstaller,"C:\Windows\servicing\TrustedInstaller.exe"
"Microsoftr Windowsr Operating System",taskmgr,"C:\Windows\system32\taskmgr.exe"
"Microsoftr Windowsr Operating System",sppsvc,"C:\Windows\system32\sppsvc.exe"
"Microsoftr Windowsr Operating System",slui,"C:\Windows\System32\slui.exe"
"Microsoftr Windowsr Operating System",rdpclip,"C:\Windows\System32\rdpclip.exe"
"Microsoftr Windowsr Operating System",ServerManager,"C:\Windows\system32\mmc.exe"
"Adobe Reader and Acrobat Manager",AdobeARM,"C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe"
"Microsoftr Windowsr Operating System","rundll32.exe aepdu","C:\Windows\system32\rundll32.exe"
"Microsoftr Windowsr Operating System",PNAMain,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"Microsoftr Windowsr Operating System",taskeng,"C:\Windows\system32\taskeng.exe"
"Microsoftr Windowsr Operating System",PowerSE,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
Firefox,firefox,"C:\Program Files (x86)\Mozilla Firefox\firefox.exe"
"Microsoftr Windowsr Operating System",concentr,"C:\Windows\system32\conhost.exe"
